,accuracy,precision,recall,f1,auc
0,0.7666666666666667,0.7742857142857142,0.7666666666666666,0.765034965034965,0.8170833333333334
1,0.8083333333333333,0.8084190052792443,0.8083333333333333,0.8083200222237655,0.8519444444444444
2,0.7,0.7083333333333333,0.7,0.696969696969697,0.7522222222222222
3,0.725,0.725062517365935,0.725,0.7249809014514896,0.7694444444444444
4,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6894444444444444
5,0.7666666666666667,0.7678571428571428,0.7666666666666666,0.7664071190211346,0.8111111111111111
6,0.7083333333333334,0.7088554720133667,0.7083333333333333,0.7081509276631228,0.7941666666666666
7,0.7,0.7002224694104561,0.7,0.6999166435120867,0.7875
8,0.7166666666666667,0.7169076751946608,0.7166666666666666,0.7165879410947485,0.7695833333333334
9,0.8083333333333333,0.8104895104895105,0.8083333333333333,0.808,0.92
